{0.931035, 0.835609, 0.0}
{0.932414, 0.709019, 0.0}
{0.930345, 0.56771, 0.0}
{0.931035, 0.444065, 0.0}
{0.931724, 0.314532, 0.0}
{0.931035, 0.184999, 0.0}
{0.930345, 0.0525217, 0.0}
{0.962759, 0.0525217, 0.0}
{0.962759, 0.182055, 0.0}
{0.962069, 0.308644, 0.0}
{0.962759, 0.447009, 0.0}
{0.963448, 0.576542, 0.0}
{0.962759, 0.703132, 0.0}
{0.962759, 0.835609, 0.0}
{0.963448, 0.97103, 0.0}
{0.993103, 0.968086, 0.0}
{0.993103, 0.832665, 0.0}
{0.993103, 0.706075, 0.0}
{0.993103, 0.58243, 0.0}
{0.993103, 0.449953, 0.0}
{0.993103, 0.314532, 0.0}
{0.993793, 0.184999, 0.0}
{0.993793, 0.0554656, 0.0}
